Subject,List,FirstorSecond,Experiment,Sentence,Picture,Accuracy,RT
197,2,1,1,Color,Gray,1,485
199,4,1,1,Blank,Gray,1,709.5
199,4,1,1,Blank,Color,1,921.5
199,4,1,1,Color,Color,1,678
199,4,1,1,Color,Gray,1,737.5
201,4,2,1,Blank,Gray,1,575.5
201,4,2,1,Blank,Color,0.833333333,531
201,4,2,1,Color,Color,1,468.5
201,4,2,1,Color,Gray,0.916666667,568
203,1,2,1,Blank,Gray,1,1110
203,1,2,1,Blank,Color,1,985.5
203,1,2,1,Color,Color,1,891
203,1,2,1,Color,Gray,1,1055
205,3,2,1,Blank,Gray,1,565
205,3,2,1,Blank,Color,1,562
205,3,2,1,Color,Color,1,511.5
205,3,2,1,Color,Gray,0.916666667,726
207,1,1,1,Blank,Gray,0.75,1592
207,1,1,1,Blank,Color,1,1821
207,1,1,1,Color,Color,1,809.5
207,1,1,1,Color,Gray,1,961.5
209,3,2,1,Blank,Gray,1,866
209,3,2,1,Blank,Color,1,871
209,3,2,1,Color,Color,1,923.5
209,3,2,1,Color,Gray,1,997.5
211,1,1,1,Blank,Gray,1,468
211,1,1,1,Blank,Color,1,543.5
211,1,1,1,Color,Color,1,512.5
211,1,1,1,Color,Gray,1,639
213,3,2,1,Blank,Gray,0.916666667,627
213,3,2,1,Blank,Color,1,615.5
213,3,2,1,Color,Color,1,651
213,3,2,1,Color,Gray,0.916666667,570
215,1,1,1,Blank,Gray,1,700.5
215,1,1,1,Blank,Color,1,660.5
215,1,1,1,Color,Color,1,619
215,1,1,1,Color,Gray,1,649
217,3,2,1,Blank,Gray,0.916666667,719
217,3,2,1,Blank,Color,1,665.5
217,3,2,1,Color,Color,1,667.5
217,3,2,1,Color,Gray,0.916666667,673
219,1,2,1,Blank,Gray,1,1651
219,1,2,1,Blank,Color,1,1316.5
219,1,2,1,Color,Color,1,1194.5
219,1,2,1,Color,Gray,0.916666667,1080
221,3,2,1,Blank,Gray,1,571
221,3,2,1,Blank,Color,1,447
221,3,2,1,Color,Color,1,455
221,3,2,1,Color,Gray,1,697.5
223,1,2,1,Blank,Gray,1,729.5
223,1,2,1,Blank,Color,1,640.5
223,1,2,1,Color,Color,1,657.5
223,1,2,1,Color,Gray,1,763
225,3,2,1,Blank,Gray,1,722.5
225,3,2,1,Blank,Color,1,565
225,3,2,1,Color,Color,0.916666667,757
225,3,2,1,Color,Gray,1,665
227,1,1,1,Blank,Gray,1,646
227,1,1,1,Blank,Color,1,704.5
227,1,1,1,Color,Color,1,639.5
227,1,1,1,Color,Gray,1,685
229,3,1,1,Blank,Gray,1,988.5
229,3,1,1,Blank,Color,1,1241
229,3,1,1,Color,Color,1,998.5
229,3,1,1,Color,Gray,1,1040.5
231,1,2,1,Blank,Gray,1,872
231,1,2,1,Blank,Color,1,707.5
231,1,2,1,Color,Color,1,775.5
231,1,2,1,Color,Gray,1,692.5
233,3,1,1,Blank,Gray,1,760.5
233,3,1,1,Blank,Color,1,563
233,3,1,1,Color,Color,1,825.5
233,3,1,1,Color,Gray,1,682
235,1,1,1,Blank,Gray,1,622
235,1,1,1,Blank,Color,1,559.5
235,1,1,1,Color,Color,1,546
235,1,1,1,Color,Gray,0.916666667,616
36,1,1,2,Blank,Gray,1,621
36,1,1,2,Blank,Color,1,514.5
36,1,1,2,Color,Color,1,679
36,1,1,2,Color,Gray,1,580
38,2,1,2,Blank,Gray,1,895
38,2,1,2,Blank,Color,1,850.5
38,2,1,2,Color,Color,1,882
38,2,1,2,Color,Gray,1,925.5
40,3,2,2,Blank,Gray,1,1018
40,3,2,2,Blank,Color,0.916666667,790
40,3,2,2,Color,Color,1,911
40,3,2,2,Color,Gray,1,957.5
42,4,2,2,Blank,Gray,0.833333333,1291
42,4,2,2,Blank,Color,1,1289
42,4,2,2,Color,Color,1,1319
42,4,2,2,Color,Gray,0.916666667,1154
44,1,1,2,Blank,Gray,0.916666667,1014
44,1,1,2,Blank,Color,1,1053.5
44,1,1,2,Color,Color,1,972
44,1,1,2,Color,Gray,0.916666667,1263
46,2,2,2,Blank,Gray,1,1055.5
46,2,2,2,Blank,Color,1,830
46,2,2,2,Color,Color,1,1108.5
46,2,2,2,Color,Gray,1,1210.5
48,3,2,2,Blank,Gray,1,597.5
48,3,2,2,Blank,Color,1,566.5
48,3,2,2,Color,Color,0.916666667,577
48,3,2,2,Color,Gray,0.916666667,667
50,4,2,2,Blank,Gray,0.916666667,841
50,4,2,2,Blank,Color,1,883.5
50,4,2,2,Color,Color,1,974
50,4,2,2,Color,Gray,1,1022.5
52,1,2,2,Blank,Gray,0.833333333,1321.5
52,1,2,2,Blank,Color,1,1394.5
52,1,2,2,Color,Color,1,1512.5
52,1,2,2,Color,Gray,0.916666667,1459
54,2,1,2,Blank,Gray,1,631
54,2,1,2,Blank,Color,1,680.5
54,2,1,2,Color,Color,1,735
54,2,1,2,Color,Gray,1,645
56,3,1,2,Blank,Gray,1,799.5
56,3,1,2,Blank,Color,1,615
56,3,1,2,Color,Color,1,680.5
56,3,1,2,Color,Gray,1,805
